key_mlbam,key_retro,key_bbref
430911,aardd001,aardsda01
110001,aaroh101,aaronha01
110002,aarot101,aaronto01
110003,aased001,aasedo01
407577,abada001,abadan01
472551,abadf001,abadfe01
110004,abadj101,abadijo01
110005,abbae101,abbated01
110006,abbeb101,abbeybe01
110007,abbec101,abbeych01
671096,abboa001,abbotan01
676265,abboc001,abbotco01
110013,abbod101,abbotda01
110008,abbof101,abbotfr01
110016,abbog001,abbotgl01
110009,abboj001,abbotji01
110010,abboj002,abbotje01
820780,abboj101,
110012,abbok001,abbotky01
110011,abbok002,abbotku01
110014,abboo101,abbotod01
110015,abbop001,abbotpa01
,abbos801,
690953,abelm001,abelmi01
110017,abera101,aberal01
150466,aberb001,abernbr01
110019,aberb101,abernbi01
110023,aberc101,aberscl01
110018,aberd101,abercda01
430631,aberr001,abercre01
820781,aberr101,abernja01
110021,abert101,abernte02
110020,abert102,abernte01
110022,aberw101,abernwo01
110024,ableh101,ablesha01
691769,abnep001,abnerph01
110025,abnes001,abnersh01
682928,abrac001,abramcj01
110026,abrac101,abramca01
110027,abrag101,abramge01
656061,abrea001,abreual01
110029,abreb001,abreubo01
650556,abreb002,abreubr01
820777,abree101,abreueu01
467728,abree801,
110028,abrej001,abregjo01
444874,abrej002,abreuju01
547989,abrej003,abreujo02
110030,abrej101,abreujo01
820775,abrej102,
473234,abret001,abreuto01
275700,abrew001,abreuwi01
677800,abrew002,abreuwi02
110031,abstb101,abstebi01
435618,accaj001,accarje01
820771,aceau101,
469686,aceva001,aceveal01
642758,acevd001,acevedo01
110032,acevj001,aceveju01
406895,acevj002,acevejo01
592091,achta001,achteaj01
110033,ackej001,ackerji01
110034,acket101,ackerto01
554429,ackld001,ackledu01
110035,acklf101,acklefr01
,acklt901,
110037,acosc101,acostcy01
110038,acose101,acosted01
110039,acosj101,acostjo01
407924,acosm001,acostma01
691185,acosm002,acostma02
110036,acosm101,acostme01
,acoso801,
110040,acrem001,acrema01
427000,actam801,actama99
670183,actog001,actonga01
682668,acunl001,acunajo01
660670,acunr001,acunaro01
492614,adaib801,adairbi99
110042,adaij101,adairje01
110041,adaij102,adairji01
547748,adair801,
542866,adama001,adamsau01
613534,adama002,adamsau02
110043,adama101,adamsac01
110048,adamb101,adamsbu01
110061,adamb102,adamsbo02
110063,adamb103,adamsbo03
110044,adamb104,adamsba01
110064,adamb105,adamsbo04
110055,adamb106,adamsbe01
110062,adamb107,adamsbo01
542436,adamc001,adamecr01
664856,adamc002,adamsch01
,adamc901,
458691,adamd001,adamsda02
110051,adamd101,adamsdo01
110059,adamd102,adamsdi01
110046,adamd103,adamsda01
820766,adame101,adamsem01
110050,adamg101,adamsgl01
110049,adamg102,adamsge01
110052,adamh101,adamshe01
110069,adamj001,adamsjo02
592094,adamj002,adamja01
677941,adamj003,adamsjo03
110054,adamj101,adamsji01
110056,adamj102,adamsjo01
,adamj901,
110057,adamk101,adamska01
572669,adaml001,adamsla01
430606,adamm001,adamsmi03
571431,adamm002,adamsma01
110070,adamm101,adamsmi01
110065,adamm102,adamsmi02
110060,adamr001,adamsri02
425859,adamr002,adamsru01
502031,adamr003,adamsry01
656180,adamr004,adamsri03
110045,adamr101,adamsre01
110058,adamr102,adamsri01
110047,adams101,adamssp01
110066,adams102,adamssp02
110067,adamt001,adamste01
701519,adamt002,adamstr01
820763,adamu101,adams05
110068,adamw001,adamswi02
642715,adamw002,adamewi01
110053,adamw101,adamswi01
110071,adcoj101,adcocjo01
502264,adcon001,adcocna01
686654,adcot001,adcocty01
110072,addib101,addisbo01
596809,addir901,
110073,adduj001,adducji01
451192,adduj002,adducji02
110074,addyb101,addybo01
666176,adelj001,adelljo01
444440,adenn001,adenhni01
110075,aderm101,aderhmo01
110079,adkid101,adkindi01
110078,adkid102,adkindo01
110077,adkid103,adkinde01
110076,adkig101,adkingr01
110081,adkih101,adkinhe01
424668,adkij001,adkinjo01
110080,adkis001,adkinst01
110082,adled101,adlesda01
534947,adlet001,adlemti01
,adleu901,
672851,adonj001,adonjo01
501303,adrie001,adriaeh01
110083,afent001,afenitr01
346793,affej001,affelje01
133742,agbab001,agbaybe01
110084,ageet101,ageeto01
110085,aggah101,agganha01
110086,aglej101,aglerjo01
110087,agnes101,agnewsa01
688642,agnoz001,agnosza01
110088,agosj001,agostju01
642607,agrad001,agrazda01
110089,agual001,aguaylu01
430894,aguic001,aguilch01
110091,aguih101,aguirha01
