key_mlbam,name
110001,Hank Aaron
110002,Tommie Aaron
110003,Don Aase
110004,John Abadie
110005,Ed Abbaticchio
110006,Bert Abbey
110007,Charlie Abbey
110008,Fred Abbott
110009,Jim Abbott
110010,Jeff Abbott
110011,Kurt Abbott
110012,Kyle Abbott
110013,Dan Abbott
110014,Ody Abbott
110015,Paul Abbott
110016,Glenn Abbott
110017,Al Aber
110018,Frank Abercrombie
110019,Bill Abernathie
110020,Tal Abernathy
110021,Ted Abernathy
110022,Woody Abernathy
110023,Cliff Aberson
110024,Harry Ables
110025,Shawn Abner
110026,Cal Abrams
110027,George Abrams
110028,Johnny Abrego
110029,Bobby Abreu
110030,Joe Abreu
110031,Bill Abstein
110032,Juan Acevedo
110033,Jim Acker
110034,Tom Acker
110035,Fritz Ackley
110036,Merito Acosta
110037,Cy Acosta
110038,Ed Acosta
110039,José Acosta
110040,Mark Acre
110041,Jimmy Adair
110042,Jerry Adair
110043,Ace Adams
110044,Babe Adams
110045,Red Adams
110046,Dan Adams
110047,Sparky Adams
110048,Buster Adams
110049,George Adams
110050,Glenn Adams
110051,Doug Adams
110052,Herb Adams
110053,Willie Adams
110054,Jim Adams
110055,Bert Adams
110056,Joe Adams
110057,Karl Adams
110058,Rick Adams
110059,Dick Adams
110060,Ricky Adams
110061,Bob Adams
110062,Bob Adams
110063,Bobby Adams
110064,Bob Adams
110065,Mike Adams
110066,Spencer Adams
110067,Terry Adams
110068,Willie Adams
110069,Joel Adamson
110070,Mike Adamson
110071,Joe Adcock
110072,Bob Addis
110073,Jim Adduci
110074,Bob Addy
110075,Morrie Aderholt
110076,Grady Adkins
110077,Dewey Adkins
110078,Merle Adkins
110079,Dick Adkins
110080,Steve Adkins
110081,Harry Atkinson
110082,Dave Adlesh
110083,Troy Afenir
110084,Tommie Agee
110085,Harry Agganis
110086,Joe Agler
110087,Sam Agnew
110088,Juan Agosto
110089,Luis Aguayo
110090,Rick Aguilera
110091,Hank Aguirre
110092,Bill Ahearn
110093,Pat Ahearne
110094,Willie Aikens
110095,Danny Ainge
110096,Eddie Ainsmith
110097,Raleigh Aitchison
110098,George Aiton
110099,John Ake
110100,Jack Aker
110101,Darrel Akerfelds
110102,Jerry Akers
110103,Bill Akers
110104,Gibson Alba
110105,Joe Albanese
110106,José Alberro
110107,Gus Alberts
110108,Butch Alberts
110109,Cy Alberts
110110,Ed Albosta
110111,Ed Albrecht
110112,Jack Albright
110113,Vic Albury
110114,Santo Alcalá
110115,Luis Alcaraz
110116,Scotty Alcock
110117,Dale Alderson
110118,Scott Aldred
110119,Mike Aldrete
110120,Jay Aldrich
110121,Vic Aldridge
110122,Chuck Aleno
110123,Dale Alexander
110124,Doyle Alexander
110125,Gary Alexander
110126,Gerald Alexander
110127,Pete Alexander
110128,Hugh Alexander
110129,Manny Alexander
110130,Matt Alexander
110131,Bob Alexander
110132,Walt Alexander
110133,Nin Alexander
110134,Antonio Alfonseca
110135,Edgardo Alfonzo
110136,Luis Alicea
110137,Andy Allanson
110138,Brian Allard
110139,Nick Allen
110140,Bernie Allen
110141,Jack Allen
110142,Ethan Allen
110143,Sled Allen
110144,Frank Allen
110145,Hank Allen
110146,Hezekiah Allen
110147,Ham Allen
110148,Horace Allen
110149,Jamie Allen
110150,Pete Allen
110151,John Allen
110152,Johnny Allen
110153,Kim Allen
110154,Lloyd Allen
110155,Myron Allen
110156,Neil Allen
110157,Dick Allen
110158,Bob Allen
110159,Earl Allen
110160,Bob Allen
110161,Bob Allen
110162,Rod Allen
110163,Ron Allen
110164,Gary Allenson
110165,Jermaine Allensworth
110166,Gene Alley
110167,Gair Allie
110168,Bob Allietta
110169,Andy Allison
110170,Art Allison
110171,Dana Allison
110172,Doug Allison
110173,Mack Allison
110174,Milo Allison
110175,Bill Allison
110176,Bob Allison
110177,Beau Allred
110178,Mel Almada
110179,Carlos Almánzar
110180,Rafael Almeida
110181,Bill Almon
110182,Luis Alomá
110183,Roberto Alomar
110184,Sandy Alomar
110185,Sandy Alomar
110186,Felipe Alou
110187,Jesús Alou
110188,Matty Alou
110189,Moisés Alou
110190,Whitey Alpermann
110191,Garvin Alston
110192,Tom Alston
110193,Walter Alston
110194,Dell Alston
110195,Porfi Altamirano
110196,Ernie Alten
110197,Jesse Altenburg
110198,Dave Altizer
110199,George Altman
110200,Joe Altobelli
110201,Nick Altrock
110202,George Alusik
110203,Luis Alvarado
110204,Tavo Álvarez
110205,Orlando Álvarez
110206,José Álvarez
110207,Ossie Álvarez
110208,Rogelio Álvarez
110209,Wilson Álvarez
110210,Max Alvis
110211,Billy Alvord
110212,Brant Alyea
110213,Joey Amalfitano
110214,Rich Amaral
110215,Rubén Amaro
110216,Rubén Amaro
110217,Wayne Ambler
110218,Ed Amelung
110219,Red Ames
110220,Doc Amole
110221,Vicente Amor
110222,Sandy Amorós
110223,Walter Ancker
110224,Larry Andersen
110225,Alf Anderson
110226,Allan Anderson
110227,Andy Anderson
110228,Red Anderson
110229,Brady Anderson
110230,Brian Anderson
110231,Dave Anderson
110232,Dave Anderson
110233,Dwain Anderson
110234,Goat Anderson
110235,Ferrell Anderson
110236,Garret Anderson
110237,George Anderson
110238,Sparky Anderson
110239,Hal Anderson
110240,Harry Anderson
110241,Jim Anderson
110242,John Anderson
110243,Fred Anderson
110244,John Anderson
110245,Bud Anderson
110246,Kent Anderson
110247,Larry Anderson
110248,Mike Anderson
110249,Mike Anderson
110250,Craig Anderson
110251,Rick Anderson
110252,Rick Anderson
110253,Bob Anderson
110254,Scott Anderson
110255,Varney Anderson
110256,Walter Anderson
110257,Bill Anderson
110258,Wingo Anderson
110259,John André
110260,Ernie Andres
110261,Kim Andrew
110262,Shane Andrews
110263,Elbert Andrews
110264,Fred Andrews
110265,Ed Andrews
110266,Hub Andrews
110267,Ivy Andrews
110268,Jim Andrews
110269,John Andrews
110270,Mike Andrews
110271,Nate Andrews
110272,Rob Andrews
110273,Stan Andrews
110274,Wally Andrews
110275,Fred Andrus
110276,Bill Andrus
110277,Wiman Andrus
110278,Joaquín Andújar
110279,Luis Andújar
110280,Norm Angelini
110281,Tom Angley
110282,Pat Ankenman
110283,Bill Annis
110284,Cap Anson
110285,Eric Anthony
110286,Joe Antolick
110287,Johnny Antonelli
110288,John Antonelli
110289,Bill Antonello
110290,Luis Aparicio
110291,Bob Apodaca
110292,Luis Aponte
110293,Kevin Appier
110294,Fred Applegate
110295,Ed Appleton
110296,Pete Appleton
110297,Luke Appling
110298,Luis Aquino
110299,Angel Aragón
110300,Jack Aragón
110301,Maurice Archdeacon
110302,Fred Archer
110303,Jimmy Archer
110304,Jim Archer
110305,George Archie
110306,José Arcia
110307,Dan Ardell
110308,Rugger Ardizoia
110309,Joe Ardner
110310,Frank Arellanes
110311,Hank Arft
110312,Alex Arias
110313,George Arias
110314,Rudy Árias
110315,Buzz Arlett
110316,Don Arlich
110317,Steve Arlin
110318,Tony Armas
110319,Marcos Armas
110320,Ed Armbrister
110321,Orville Armbrust
110322,Charlie Armbruster
110323,Harry Armbruster
110324,Howard Armstrong
110325,Jack Armstrong
110326,Mike Armstrong
110327,George Armstrong
110329,Harry Arndt
110330,Larry Arndt
110331,Chris Arnold
110332,Scott Arnold
110333,Tony Arnold
110334,Billy Arnold
110335,Morrie Arnovich
110336,Brad Arnsberg
110337,Orie Arntzen
110338,René Arocha
110339,Gerry Arrigo
110340,Fernando Arroyo
110341,Luis Arroyo
110342,Rudy Arroyo
110343,Harry Arundel
110344,Tug Arundel
110345,Randy Asadoor
110346,Jim Asbell
110347,Bob Asbjornson
110348,Ken Ash
110349,Richie Ashburn
110350,Alan Ashby
110351,Andy Ashby
110352,Tucker Ashford
110353,Billy Ashley
110354,Tom Asmussen
110355,Ken Aspromonte
110356,Bob Aspromonte
110357,Brian Asselstine
110358,Paul Assenmacher
110359,Pedro Astacio
110360,Joe Astroth
110361,Charlie Atherton
110362,Keith Atherton
110363,Tommy Atkins
110364,James Atkins
110365,Al Atkinson
110366,Ed Atkinson
110367,Lefty Atkinson
110368,Bill Atkinson
110369,Dick Attreau
110370,Toby Atwell
110371,Bill Atwood
110372,Jake Atz
110373,Harry Aubrey
110374,Derek Aucoin
110375,Rich Aude
110376,Rick Auerbach
110377,Don August
110378,Dave Augustine
110379,Jerry Augustine
110380,Elden Auker
110381,Tex Aulds
110382,Doug Ault
110383,Rich Aurilia
110384,Joe Ausanio
110385,Brad Ausmus
110386,Dennis Aust
110387,Henry Austin
110388,Jim Austin
110389,Jimmy Austin
110390,Rick Austin
110391,Al Autry
110392,Martin Autry
110393,Chick Autry
110394,Bruce Aven
110395,Earl Averill
110396,Earl Averill
110397,Steve Avery
110398,Bobby Ávila
110399,Ramón Avilés
110400,Jay Avrea
110401,Benny Ayala
110402,Bobby Ayala
110403,Manny Aybar
110404,Jake Aydelott
110405,Bill Ayers
110406,Doc Ayers
110407,Dick Aylward
110408,Joe Ayrault
110409,Bob Ayrault
110410,Joe Azcue
110411,Oscar Azócar
110412,Charlie Babb
110413,Bob Babcock
110414,Loren Babe
110415,Johnny Babich
110416,Charlie Babington
110417,Shooty Babitt
110418,Les Backman
110419,Wally Backman
110420,Eddie Bacon
110421,Mike Bacsik
110422,Fred Baczewski
110423,Art Bader
110424,Lore Bader
110425,Red Badgro
110426,Ed Baecht
110427,Carlos Baerga
110428,José Báez
110429,Kevin Baez
110430,Jim Bagby
110431,Jim Bagby
110432,Jeff Bagwell
110433,Bill Bagwell
110434,Stan Bahnsen
110435,Ed Bahr
110436,Frank Bahret
110437,Grover Baichley
110438,Scott Bailes
110439,Abraham Bailey
110440,Gene Bailey
110441,Roger Bailey
110442,Fred Bailey
110443,Bill Bailey
110444,Harvey Bailey
110445,Howard Bailey
110446,Jim Bailey
110447,Mark Bailey
110448,King Bailey
110449,Ed Bailey
110450,Cory Bailey
110451,Bob Bailey
110452,Steve Bailey
110453,Bill Bailey
110454,Bob Bailor
110455,Loren Bain
110456,Harold Baines
110457,Doug Bair
110458,Al Baird
110459,Doug Baird
110460,Bob Baird
110461,Jersey Bakley
110462,Dave Bakenhaster
110463,Al Baker
110464,Charles Baker
110465,Charlie Baker
110466,Chuck Baker
110467,Dave Baker
110468,Del Baker
110469,Doug Baker
110470,Ernie Baker
110471,Gene Baker
110472,Floyd Baker
110473,Frank Baker
110474,Frank Baker
110475,George Baker
110476,Howard Baker
110477,Jack Baker
110478,Jesse Baker
110479,Jesse Baker
110480,Home Run Baker
110481,Dusty Baker
110482,Kirtley Baker
110483,Neal Baker
110484,Norm Baker
110485,Phil Baker
110486,Scott Baker
110487,Steve Baker
110488,Tom Baker
110489,Tom Baker
110490,Tracy Baker
110491,Bill Baker
110492,Mike Balas
110493,John Balaz
110494,Steve Balboni
110495,Bobby Balcena
110496,Jack Baldschun
110497,Lady Baldwin
110498,Kid Baldwin
110499,Dave Baldwin
110500,Frank Baldwin
110501,Henry Baldwin
110502,Harry Baldwin
110503,James Baldwin
110504,Jeff Baldwin
110505,Mark Baldwin
110506,Orson Baldwin
110507,Reggie Baldwin
110508,Rick Baldwin
110509,Billy Baldwin
110510,Mike Balenti
110511,Lee Bales
110512,Art Ball
110513,Neal Ball
110514,Jim Ball
110515,Jeff Ballard
110516,Pelham Ballenger
110517,Jay Baller
110518,Mark Ballinger
110519,Win Ballou
110520,Tony Balsamo
110521,George Bamberger
110522,Hal Bamberger
110523,Studs Bancker
110524,Dave Bancroft
110525,Chris Bando
110526,Sal Bando
110527,Eddie Bane
110528,Dick Baney
110529,Jeff Banister
110530,Dan Bankhead
110531,Scott Bankhead
110532,Brian Banks
110533,Ernie Banks
110534,George Banks
110535,Bill Yerrick
110536,Willie Banks
110537,Bill Bankston
110538,Jim Banning
110539,Alan Bannister
110540,Floyd Bannister
110541,Jimmy Bannon
110542,Tom Bannon
110543,Jack Banta
110544,Walter Barbare
110545,Red Barbary
110546,William Barbeau
110547,Dave Barbee
110548,Brian Barber
110549,Charlie Barber
110550,Steve Barber
110551,Steve Barber
110552,Turner Barber
110553,Frank Barberich
110554,Bret Barberie
110555,Jim Barbieri
110556,Curt Barclay
110557,George Barclay
110558,Ray Bare
110559,Jesse Barfield
110560,John Barfield
110561,Clyde Barfoot
110562,Greg Bargar
110563,Cy Barger
110564,Brian Bark
110565,Al Barker
110566,Len Barker
110567,Ray Barker
110568,Jeff Barkley
110569,Red Barkley
110570,Sam Barkley
110571,Mike Barlow
110572,Tom Barlow
110573,Bruce Barmes
110574,Babe Barna
110575,Charlie Barnabe
110576,Brian Barnes
110577,Red Barnes
110578,Eppie Barnes
110579,Frank Barnes
110580,Frank Barnes
110581,Jesse Barnes
110582,Honey Barnes
110583,Junie Barnes
110584,Lute Barnes
110585,Rich Barnes
110586,Bob Barnes
110587,Ross Barnes
110588,Sam Barnes
110589,Virgil Barnes
110590,Bill Barnes
110591,Skeeter Barnes
110592,Ed Barney
110593,Rex Barney
110594,Clyde Barnhart
110595,Edgar Barnhart
110596,Les Barnhart
110597,Vic Barnhart
110598,George Barnicle
110599,Billy Barnie
110600,Ed Barnowski
110601,Salomé Barojas
110602,Dick Barone
110603,Scotty Barr
110604,Jim Barr
110605,Bob Barr
110606,Bob Barr
110607,Steve Barr
110608,Cuno Barragan
110609,Germán Barranca
110610,John Barrett
110611,Red Barrett
110612,Frank Barrett
110613,Jimmy Barrett
110614,Johnny Barrett
110615,Marty Barrett
110616,Marty Barrett
110617,Bob Barrett
110618,Tommy Barrett
110619,Tim Barrett
110620,Dick Barrett
110621,Bill Barrett
110622,Bill Barrett
110623,Francisco Barrios
110624,Jose Barrios
110625,Manuel Barrios
110626,Tony Barron
110627,Red Barron
110628,Frank Barron
110629,Frank Barrows
110630,Cuke Barrows
110631,Ed Barry
110632,Hardin Barry
110633,Jeff Barry
110634,John Barry
110635,Jack Barry
110636,Rich Barry
110637,Tom Barry
110638,Kimera Bartee
110639,Dick Bartell
110640,Bob Barthelson
110641,John Barthold
110642,Les Bartholomew
110643,Tony Bartirome
110644,Boyd Bartley
110645,Bill Bartley
110646,Irv Bartling
110647,Harry Barton
110648,Bob Barton
110649,Shawn Barton
110650,Vince Barton
110651,Dave Bartosch
110652,Charlie Bartson
110653,Monty Basgall
110654,Al Bashang
110655,Walt Bashore
110656,Eddie Basinski
110657,Jim Baskette
110658,John Bass
110659,Kevin Bass
110660,Norm Bass
110661,Randy Bass
110662,Dick Bass
110663,Doc Bass
110664,Charley Bassett
110665,Johnny Bassler
110666,Charlie Bastian
110667,Emil Batch
110668,Joe Batchelder
110669,Rich Batchelor
110670,John Bateman
110671,Dick Bates
110672,Charlie Bates
110673,Frank Bates
110674,Del Bates
110675,Hubert Bates
110676,Jason Bates
110677,John Bates
110678,Johnny Bates
110679,Ray Bates
110680,Billy Bates
110681,Bill Bathe
110682,Tony Batista
110683,Miguel Batista
110684,Rafael Batista
110685,Kevin Batiste
110686,Kim Batiste
110687,Bill Batsch
110688,Larry Battam
110689,George Batten
110690,Earl Battey
110691,Joe Battin
110692,Allen Battle
110693,Howard Battle
110694,Jim Battle
110695,Chris Batton
110696,Matt Batts
110697,Hank Bauer
110698,Lou Bauer
110699,Al Bauer
110700,Russ Bauers
110701,Paddy Baumann
110702,Frank Baumann
110703,Jim Baumer
110704,George Baumgardner
110705,Ross Baumgarten
110706,Harry Baumgartner
110707,John Baumgartner
110708,Stan Baumgartner
110709,Frank Baumholtz
110710,George Bausewine
110711,Ed Bauta
110712,Danny Bautista
110713,José Bautista
110714,Jim Baxes
110715,Mike Baxes
110716,Moose Baxter
110717,Harry Bay
110718,Dick Bayless
110719,Don Baylor
110720,Bill Bayne
110721,Jack Beach
110722,Johnny Beall
110723,Bob Beall
110724,Walter Beall
110725,Tommy Beals
110726,Alex Beam
110727,Ernie Beam
110728,Charlie Beamon
110729,Charlie Beamon
110730,Trey Beamon
110731,Belve Bean
110732,Joe Bean
110733,Billy Bean
110734,Billy Beane
110735,Dave Beard
110736,Ted Beard
110737,Mike Beard
110738,Ollie Beard
110739,Ralph Beard
110740,Gene Bearden
110741,Gary Beare
110742,Larry Bearnarth
110743,Kevin Bearse
110744,Chris Beasley
110745,Lew Beasley
110746,Ed Beatin
110747,Dave Beadle
110748,Jim Beattie
110749,Desmond Beatty
110750,Blaine Beatty
110751,Jim Beauchamp
110752,Ginger Beaumont
110753,Edward Beavan
110754,Johnny Beazley
110755,Buck Becannon
110756,George Bechtel
110757,Clyde Beck
110758,George Beck
110759,Erve Beck
110760,Frank Beck
110761,Fred Beck
110762,Rich Beck
110763,Rod Beck
110764,Boom-Boom Beck
110765,Zinn Beck
110766,Henry Beckendorf
110767,Charlie Becker
110768,Beals Becker
110769,Heinz Becker
110770,Joe Becker
110771,Marty Becker
110772,Rich Becker
110773,Bob Becker
110774,Glenn Beckert
110775,Robbie Beckett
110776,Jake Beckley
110777,Jim Beckman
110778,Bill Beckmann
110779,Joe Beckwith
110780,Julio Becquer
110781,Howie Bedell
110782,Gene Bedford
110783,Phil Bedgood
110784,Hugh Bedient
110785,Andy Bednar
110786,Steve Bedrosian
110787,Fred Beebe
110788,Matt Beech
110789,Ed Biecher
110790,Ed Beecher
110791,Roy Beecher
110792,Jodie Beeler
110793,Fred Beene
110794,Andy Beene
110795,Clarence Beers
110796,Joe Beggs
110797,Ed Bagley
110798,Gene Bagley
110799,Jim Begley
110800,Petie Behan
110801,Steve Behel
110802,Rick Behenna
110803,Mel Behney
110804,Hank Behrman
110805,Ollie Bejma
110806,Mark Belanger
110807,Wayne Belardi
110808,Kevin Belcher
110809,Tim Belcher
110810,Ira Belden
110811,Stan Belinda
110812,Bo Belinsky
110813,Tim Belk
110814,Charlie Bell
110815,Buddy Bell
110816,David Bell
110817,Gus Bell
110818,Derek Bell
110819,Eric Bell
110820,Fern Bell
110821,Frank Bell
110822,Gary Bell
110823,George Bell
110824,George Bell
110825,Herman Bell
110826,Jay Bell
110827,Jerry Bell
110828,Rudy Baerwald
110829,Juan Bell
110830,Kevin Bell
110831,Les Bell
110832,Mike Bell
110833,Ralph Bell
110834,Beau Bell
110835,Terry Bell
110836,Bill Bell
110837,Zeke Bella
110838,Steve Bellán
110839,Albert Belle
110840,Mark Bellhorn
110841,Rafael Belliard
110842,Jack Bellman
110843,Rob Belloir
110844,Rigo Beltrán
110845,Esteban Beltré
110846,Harry Bemis
110847,Marvin Benard
110848,Freddie Benavides
110849,Johnny Bench
110850,Charles Bender
110851,Art Benedict
110852,Bruce Benedict
110853,Alan Benes
110854,Andy Benes
110855,Joe Benes
110856,Ray Benge
110857,Benny Bengough
110858,Juan Beníquez
110859,Armando Benítez
110860,Yamil Benítez
110861,Stan Benjamin
110862,Mike Benjamin
110863,Henry Benn
110864,Ike Benners
110865,Charlie Bennett
110866,Dave Bennett
110867,Dennis Bennett
110868,Erik Bennett
110869,Frank Bennett
110870,Gary Bennett
110871,Herschel Bennett
110872,Fred Bennett
110873,Joe Bennett
110874,Pug Bennett
110875,Shayne Bennett
110876,Allen Benson
110877,Vern Benson
110878,Cy Bentley
110879,Jack Bentley
110880,Butch Benton
110881,Al Benton
110882,Rube Benton
110883,Larry Benton
110884,Sid Benton
110885,Rabbit Benton
110886,Joe Benz
110887,Todd Benzinger
110888,Johnny Berardino
110889,Lou Berberet
110890,Jeff Berblinger
110891,Jason Bere
110892,Juan Berenguer
110893,Bruce Berenyi
110894,Moe Berg
110895,Augie Bergamo
110896,Marty Bergen
110897,Bill Bergen
110898,Heinie Berger
110899,Clarence Berger
110900,Johnny Berger
110901,Tun Berger
110902,Joe Berger
110903,Boze Berger
110904,Wally Berger
110905,John Bergh
110906,Marty Berghammer
110907,Al Bergman
110908,Dave Bergman
110909,Sean Bergman
110910,Frank Berkelbach
110911,Nate Berkenstock
110912,Jack Berly
110913,Bob Berman
110914,Victor Bernal
110915,Curt Bernard
110916,Dwight Bernard
110917,Joe Bernard
110918,Tony Bernazard
110919,Bill Bernhard
110920,Juan Bernhardt
110921,Walter Bernhardt
110922,Carlos Bernier
110923,Johnny Bero
110924,Dale Berra
110925,Yogi Berra
110926,Dennis Berran
110927,Ray Berres
110928,Gerónimo Berroa
110929,Ken Berry
110930,Charlie Berry
110931,Charlie Berry
110932,Claude Berry
110933,Neil Berry
110934,Joe Berry
110935,Joe Berry
110936,Joe Berry
110937,Sean Berry
110938,Tom Berry
110939,Damon Berryhill
110940,Frank Bertaina
110941,Harry Berte
110942,Dick Bertell
110943,Harry Berthrong
110944,Reno Bertoia
110945,Mike Bertotti
110946,Roman Bertrand
110947,Andrés Berumen
110948,Fred Besana
110949,Bob Bescher
110950,Herman Besse
110951,Don Bessent
110952,Karl Best
110953,William Bestick
110954,Jim Beswick
110955,Frank Betcher
110956,Bill Bethea
110957,Jim Bethke
110958,Larry Bettencourt
110959,Jeff Bettendorf
110960,Harry Betts
110961,Huck Betts
110962,Bruno Betzel
110963,Kurt Bevacqua
110964,Hal Bevan
110965,Bill Bevens
110966,Brian Bevil
110967,Lou Bevil
110968,Ben Beville
110969,Monte Beville
110970,Buddy Biancalana
110971,Tommy Bianco
110972,Hank Biasatti
110973,Jim Bibby
110974,Dante Bichette
110975,Vern Bickford
110976,Dan Bickham
110977,Charlie Bicknell
110978,Oscar Bielaski
110979,Mike Bielecki
110980,Harry Biemiller
110981,Lou Bierbauer
110982,Charles Bierman
110983,Steve Bieser
110984,Carson Bigbee
110985,Lyle Bigbee
110986,Elliot Bigelow
110987,Craig Biggio
110988,Charlie Biggs
110989,Ivan Bigler
110990,George Bignell
110991,Larry Biittner
110992,Dann Bilardello
110993,Jim Bilbrey
110994,Emil Bildilli
110995,Steve Bilko
110996,Harry Billiard
110997,Jack Billingham
110998,Josh Billings
110999,Josh Billings
111000,Dick Billings
111001,George Binks
111002,Steve Biras
111003,Jud Birchall
111004,Frank Bird
111005,George Bird
111006,Doug Bird
111007,Red Bird
111008,Dave Birdsall
111009,Mike Birkbeck
111010,Ralph Birkofer
111011,Joe Birmingham
111012,Babe Birrer
111013,Tim Birtsas
111014,Frank Biscan
111015,John Bischoff
111016,Charlie Bishop
111017,Frank Bishop
111018,Jim Bishop
111019,Lloyd Bishop
111020,Max Bishop
111021,Mike Bishop
111022,Bill Bishop
111023,Bill Bishop
111024,Rivington Bisland
111025,Del Bissonette
111026,Hiram Bithorn
111027,Joe Bitker
111028,Jeff Bittiger
111029,Red Bittmann
111030,Jim Bivin
111031,George Bjorkman
111032,Dave Black
111033,Don Black
111034,Buddy Black
111035,John Black
111036,Bill Black
111037,Joe Black
111038,Bob Black
111039,Bud Black
111040,Ethan Blackaby
111041,Earl Blackburn
111042,Charlie Blackburn
111043,George Blackburn
111044,Jim Blackburn
111045,Ron Blackburn
111046,Lena Blackburne
111047,George Blackerby
111048,Ewell Blackwell
111049,Fred Blackwell
111050,Tim Blackwell
111051,Ray Blades
111052,Rick Bladt
111053,George Blaeholder
111054,Rae Blaemire
111055,Clarence Blair
111056,Dennis Blair
111057,Buddy Blair
111058,Paul Blair
111059,Walter Blair
111060,Willie Blair
111061,Bill Blair
111062,Dick Blaisdell
111063,Ed Blake
111064,Harry Blake
111065,Sheriff Blake
111066,Linc Blakely
111067,Bob Blakiston
111068,Johnny Blanchard
111069,Al Blanche
111070,Damaso Blanco
111071,Gil Blanco
111072,Henry Blanco
111073,Ossie Blanco
111074,Fred Blanding
111075,Coonie Blank
111076,Fred Blank
111077,Cliff Blankenship
111078,Homer Blankenship
111079,Kevin Blankenship
111080,Lance Blankenship
111081,Ted Blankenship
111082,Larvell Blanks
111083,Cy Blanton
111084,Don Blasingame
111085,Wade Blasingame
111086,Steve Blass
111087,Steve Blateric
111088,Johnny Blatnik
111089,Buddy Blattner
111090,Jeff Blauser
111091,Harvey Blauvelt
111092,Gary Blaylock
111093,Marv Blaylock
111094,Bob Blaylock
111095,Ron Blazier
111096,Curt Blefary
111097,Ray Blemker
111098,Ike Blessitt
111099,Clarence Blethen
111100,Bob Blewett
111101,Ned Bligh
111102,Elmer Bliss
111103,Frank Bliss
111104,Jack Bliss
111105,Bruno Block
111106,Cy Block
111107,Terry Blocker
111108,Wes Blogg
111109,Ron Blomberg
111110,Ben Blomdahl
111111,Joe Blong
111112,Jimmy Bloodworth
111113,Bud Bloomfield
111114,Greg Blosser
111115,Jack Blott
111116,Mike Blowers
111117,Bert Blue
111118,Lu Blue
111119,Vida Blue
111120,Ossie Bluege
111121,Otto Bluege
111122,Jim Bluejacket
111123,Red Bluhm
111124,Jaime Bluma
111125,Clint Blume
111126,Bert Blyleven
111127,Mike Blyzka
111128,Chet Boak
111129,Charlie Boardman
111130,Frederick Boardman
111131,Randy Bobb
111132,John Boccabella
111133,Milt Bocek
111134,Bruce Bochte
111135,Doug Bochtler
111136,Bruce Bochy
111137,Eddie Bockman
111138,Randy Bockus
111139,Mike Boddicker
111140,Ping Bodie
111141,Tony Boeckel
111142,George Boehler
111143,Joe Boehling
111144,Len Boehmer
111145,Brian Boehringer
111146,Larry Boerner
111147,Joe Boever
111148,Tim Bogar
111149,John Bogart
111150,Terry Bogener
111151,Ray Boggs
111152,Tommy Boggs
111153,Wade Boggs
111154,Warren Bogle
111155,Brian Bohanon
111156,Pat Bohen
111157,Charlie Bohn
111158,Sam Bohne
111159,John Bohnet
111160,Bruce Boisclair
111161,Dan Boitano
111162,Dick Bokelmann
111163,Bob Boken
111164,Joe Bokina
111165,Boland
111166,Bernie Boland
111167,Ed Boland
111168,Charlie Bold
111169,Bill Bolden
111170,Stew Bolen
111171,Carl Boles
111172,Joe Boley
111173,Jim Bolger
111174,Frank Bolick
111175,Bobby Bolin
111176,Frank Bolling
111177,Jack Bolling
111178,Milt Bolling
111179,Greg Bollo
111180,Don Bollweg
111181,Cecil Bolton
111182,Rod Bolton
111183,Tom Bolton
111184,Cliff Bolton
111185,Mark Bomback
111186,Tommy Bond
111187,Walt Bond
111188,Barry Bonds
111189,Bobby Bonds
111190,George Bone
111191,Ricky Bones
111192,Julio Bonetti
111193,Hank Boney
111194,Nino Bongiovanni
111195,Tiny Bonham
111196,Bill Bonham
111197,Joe Bonikowski
111198,Juan Bonilla
111199,Bobby Bonilla
111200,Luther Bonin
111201,Barry Bonnell
111202,Frank Bonner
111203,Bobby Bonner
111204,Bill Bonness
111205,Gus Bono
111206,Zeke Bonura
111207,Everett Booe
111208,Greg Booker
111209,Buddy Booker
111210,Rod Booker
111211,Al Bool
111212,Red Booles
111213,Aaron Boone
111214,Bret Boone
111215,Danny Boone
111216,George Boone
111217,Ike Boone
111218,Dan Boone
