player_id,year,team,league,G,PA,AB,R,H,doubles,triples,HR,RBI,BB,SO,SB,CS,IBB,HBP,SH,SF,GIDP,TB
110001,1954,MLN,,122,493,468,58,131,27,6,13,69,28,39,2,2,0,3,6,4,13,209
110001,1955,MLN,,153,629,602,106,189,37,9,27,106,49,61,3,1,5,3,7,4,21,325
110001,1956,MLN,,153,618,609,106,200,34,14,26,92,37,54,2,4,6,2,5,7,20,340
110001,1957,MLN,,151,675,615,118,198,27,6,44,132,57,58,1,1,15,0,0,3,14,369
110001,1958,MLN,,153,664,601,109,196,34,4,30,95,59,49,4,1,16,1,0,3,21,328
110001,1959,MLN,,154,693,629,116,223,46,7,39,123,51,54,8,0,17,4,0,9,19,400
110001,1960,MLN,,153,664,590,102,172,20,11,40,126,60,62,16,7,13,2,0,12,8,334
110001,1961,MLN,,155,671,603,115,197,39,10,34,120,56,64,21,8,20,2,1,9,16,358
110001,1962,MLN,,155,667,592,127,191,28,6,45,128,66,72,15,8,14,3,0,6,14,366
110001,1963,MLN,,161,700,631,121,201,29,4,44,130,78,94,31,5,18,0,0,5,12,370
110001,1964,MLN,,144,625,570,103,187,30,2,24,95,62,46,22,4,9,0,0,2,22,293
110001,1965,MLN,,150,615,570,109,181,40,1,32,89,60,81,24,4,10,1,0,8,15,319
110001,1966,ATL,,158,672,603,117,168,23,1,44,127,76,96,21,3,15,1,0,8,14,325
110001,1967,ATL,,155,661,600,113,184,37,3,39,109,63,97,17,6,19,0,0,6,10,344
110001,1968,ATL,,160,623,606,84,174,33,4,29,86,64,62,28,5,23,1,0,5,21,302
110001,1969,ATL,,147,639,547,100,164,30,3,44,97,87,47,9,10,19,2,0,3,14,332
110001,1970,ATL,,150,598,516,103,154,26,1,38,118,74,63,9,0,15,2,0,6,13,296
110001,1971,ATL,,139,573,495,95,162,22,3,47,118,71,58,1,1,21,2,0,5,9,331
110001,1972,ATL,,129,545,449,75,119,10,0,34,77,93,55,4,0,15,1,0,2,17,231
110001,1973,ATL,,120,465,392,84,118,12,1,40,96,68,51,1,1,13,1,0,4,7,252
110001,1974,ATL,,112,382,340,47,91,16,0,20,69,39,29,1,0,6,0,1,2,6,167
110001,1975,MIL,,137,543,465,45,109,16,2,12,60,70,51,0,1,3,1,1,6,15,165
110001,1976,MIL,,85,308,271,22,62,8,0,10,35,35,38,0,1,1,0,0,2,8,100
110002,1962,MLN,,115,382,334,54,77,20,2,8,38,41,58,6,0,0,0,4,3,11,125
110002,1963,MLN,,63,144,135,6,27,6,1,1,15,10,27,0,3,1,0,3,2,7,38
110002,1965,MLN,,7,17,16,1,3,0,0,0,1,1,2,0,0,0,0,0,0,1,3
110002,1968,ATL,,94,294,283,21,69,10,3,1,25,21,37,3,4,1,0,2,1,9,88
110002,1969,ATL,,39,66,60,13,15,2,0,1,5,6,6,0,1,0,0,0,0,1,20
110002,1970,ATL,,36,66,63,3,13,2,0,2,7,3,10,0,0,0,0,0,0,5,21
110002,1971,ATL,,22,56,53,4,12,2,0,0,3,3,5,0,0,1,0,0,0,3,14
110003,1989,NYN,,5,5,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
110005,1898,PHI,,25,0,92,9,21,4,0,0,16,8,12,4,2,0,1,1,0,0,25
110005,1903,BSN,,136,0,493,62,112,18,5,1,33,52,31,23,0,0,4,17,0,0,143
110005,1904,BSN,,154,0,578,76,148,18,10,3,37,47,50,24,0,0,5,13,0,0,195
110005,1905,BSN,,153,0,612,70,170,25,12,3,40,39,42,30,0,0,8,6,0,0,228
110005,1907,PIT,,147,0,496,62,130,14,7,2,72,65,41,35,0,0,9,22,0,0,164
110005,1908,PIT,,146,0,500,43,125,16,7,1,61,61,44,22,0,0,7,25,0,0,158
110005,1909,PIT,,37,0,87,13,20,0,0,1,10,18,12,3,3,0,1,0,1,0,23
110005,1910,BSN,,55,199,180,20,44,4,2,0,13,12,17,2,2,0,0,7,1,4,52
110008,1903,CLE,,78,0,259,25,60,11,3,1,25,9,16,8,0,0,5,11,0,0,80
110008,1904,CLE,,41,0,130,14,22,4,2,0,12,7,11,2,0,0,0,5,0,0,30
110008,1905,PHI,,41,0,128,9,25,6,1,0,10,8,20,4,0,0,3,6,0,0,33
110009,1999,MIL,,12,24,21,0,2,0,0,0,3,0,10,0,0,0,0,3,0,0,2
110010,1997,CHA,,16,38,38,8,10,1,0,1,2,0,6,0,0,0,0,0,0,3,14
110010,1998,CHA,,81,261,244,33,68,14,1,12,41,9,28,3,3,1,0,2,5,2,120
110010,1999,CHA,,17,64,57,5,9,0,0,2,6,5,12,1,1,0,0,1,1,4,15
110010,2000,CHA,,78,242,215,31,59,15,1,3,29,21,38,2,1,1,2,2,1,2,85
110010,2001,FLO,,20,46,42,5,11,3,0,0,5,3,7,0,0,0,1,0,0,1,14
