player_id,year,team,league,W,L,G,GS,IP,SO,BB,HR,CG,SHO,SV,H,ER,R,IBB,WP,HBP,BK,BFP,GF,SH,SF,GIDP
110003,1977,BOS,,6,2,13,13,92.333,49,19,6,4,2,0,85,32,36,1,0,1,0,373,0,2,3,7
110003,1978,CAL,,11,8,29,29,178.667,93,80,14,6,1,0,185,80,88,4,3,2,0,773,0,5,1,12
110003,1979,CAL,,9,10,37,28,185.333,96,77,19,7,1,2,200,99,104,7,5,1,0,817,4,8,8,20
110003,1980,CAL,,8,13,40,21,175.0,74,66,13,5,1,2,193,79,83,3,2,1,1,761,6,12,9,20
110003,1981,CAL,,4,4,39,0,65.333,38,24,4,0,0,11,56,17,17,2,2,0,0,265,32,1,1,5
110003,1982,CAL,,3,3,24,0,52.0,40,23,5,0,0,4,45,20,20,2,2,0,0,212,18,4,0,5
110003,1984,CAL,,4,1,23,0,39.0,28,19,1,0,0,8,30,7,7,5,0,0,0,160,17,3,2,5
110003,1985,BAL,,10,6,54,0,88.0,67,35,6,0,0,14,83,37,44,7,0,1,1,366,43,5,3,13
110003,1986,BAL,,6,7,66,0,81.667,67,28,6,0,0,34,71,27,29,2,4,0,0,337,58,3,2,7
110003,1987,BAL,,1,0,7,0,8.0,3,4,1,0,0,2,8,2,2,0,0,0,0,33,6,0,0,2
110003,1988,BAL,,0,0,35,0,46.667,28,37,4,0,0,0,40,21,22,5,1,0,0,209,16,3,2,5
110003,1989,NYN,,1,5,49,0,59.333,34,26,5,0,0,2,56,26,27,3,0,1,1,261,22,2,3,3
110003,1990,LAN,,3,1,32,0,38.0,24,19,5,0,0,3,33,21,24,4,3,0,0,163,13,2,0,2
110009,1989,CAL,,12,12,29,29,181.333,115,74,13,4,2,0,190,79,95,3,8,4,2,788,0,11,5,23
110009,1990,CAL,,10,14,33,33,211.667,105,72,16,4,1,0,246,106,116,6,4,5,3,925,0,9,6,27
110009,1991,CAL,,18,11,34,34,243.0,158,73,14,5,1,0,222,78,85,6,1,5,4,1002,0,7,7,22
110009,1992,CAL,,7,15,29,29,211.0,130,68,12,7,0,0,208,65,73,3,2,4,0,874,0,8,4,22
110009,1993,NYA,,11,14,32,32,214.0,95,73,22,4,1,0,221,104,115,4,9,3,0,906,0,12,4,29
110009,1994,NYA,,9,8,24,24,160.333,90,64,24,2,0,0,167,81,88,1,8,2,1,692,0,9,5,19
110009,1995,CAL,,11,8,30,30,197.0,86,64,14,4,1,0,209,81,93,1,1,2,0,842,0,8,4,25
110009,1996,CAL,,2,18,27,23,142.0,58,78,23,1,0,0,171,118,128,3,13,4,1,654,2,4,10,17
110009,1998,CHA,,5,0,5,5,31.667,14,12,2,0,0,0,35,16,16,0,0,1,0,134,0,0,1,7
110009,1999,MIL,,2,8,20,15,82.0,37,42,14,0,0,0,110,63,71,3,7,2,0,394,3,2,1,9
110012,1991,CAL,,1,2,5,3,19.667,12,13,2,0,0,0,22,10,11,0,1,1,1,90,0,3,0,3
110012,1992,PHI,,1,14,31,19,133.333,88,45,20,0,0,0,147,76,80,0,9,1,1,577,0,6,5,11
110012,1995,PHI,,2,0,18,0,28.333,21,16,3,0,0,0,28,12,12,0,2,0,1,122,3,0,1,4
110012,1996,CAL,,0,1,3,0,4.0,3,5,1,0,0,0,10,9,9,0,1,0,0,26,1,1,0,0
