# Observed standings refreshes — one line per CHANGE in /teams/standings'
# last_updated, appended by .github/workflows/standings-freshness.yml.
# Format: observed_at_utc,last_updated
# The gaps between lines are the answer to "how often does the update chain run".
2026-09-03T03:59:49Z,2026-09-02T15:07:32.753954Z
2026-09-03T16:26:08Z,2026-09-03T15:05:09.515279Z
2026-09-04T16:21:41Z,2026-09-04T15:03:11.159535Z
2026-09-05T15:14:33Z,2026-09-05T15:03:40.837569Z
2026-09-06T15:28:28Z,2026-09-06T15:05:40.009087Z
2026-09-07T19:09:58Z,2026-09-07T15:06:23.062323Z
2026-09-08T16:38:44Z,2026-09-08T15:04:49.660682Z
2026-09-09T16:39:06Z,2026-09-09T15:05:01.151774Z
2026-09-10T16:25:00Z,2026-09-10T15:03:42.637039Z
2026-09-11T16:28:55Z,2026-09-11T15:04:54.422687Z
2026-09-12T15:32:05Z,2026-09-12T15:02:47.114480Z
2026-09-13T16:17:31Z,2026-09-13T15:05:10.777170Z
2026-09-14T19:50:58Z,2026-09-14T15:05:19.081074Z
2026-09-15T16:59:49Z,2026-09-15T15:02:53.920635Z
2026-09-16T16:55:45Z,2026-09-16T15:05:45.401440Z
2026-09-17T16:59:54Z,2026-09-17T15:02:24.839482Z
2026-09-18T16:24:15Z,2026-09-18T15:04:41.423127Z
2026-09-19T15:53:10Z,2026-09-19T15:03:23.619246Z
2026-09-20T16:06:55Z,2026-09-20T15:03:46.350134Z
2026-09-21T19:59:50Z,2026-09-21T15:06:35.548820Z
2026-09-22T16:57:38Z,2026-09-22T15:05:51.103030Z
2026-09-23T17:04:09Z,2026-09-23T15:03:43.898891Z
2026-09-24T17:11:43Z,2026-09-24T15:06:29.687128Z
2026-09-25T17:11:39Z,2026-09-25T15:03:21.273609Z
2026-09-26T16:23:55Z,2026-09-26T15:06:22.168203Z
